"","year","month","Site","temp_mean","temp_min","temp_max","sum_25","sal_mean","sal_min","sal_max","sum_5","sum_15"
"1","2017",10,1,24.8765537634409,16.93,29.873,418,13.2014733892912,0.108369739227739,28.649728647549,549,353
"2","2017",10,2,26.1882149046794,20.17,30.89,413,20.077496232842,0.628561167800461,28.8491721906585,573,456
"3","2017",10,3,24.8472459677419,15.463,31.08,408,21.704532024656,4.52391319359187,29.173475012478,741,666
"4","2017",10,4,24.5555967741935,15.82,31.13,309,18.1243761781244,0.0124721801322329,26.2451737952407,609,486
"5","2017",10,5,22.6928838951311,16.46,28.66,97,16.4143083809818,1.05431203967252,23.5493964112292,258,193
"6","2017",10,6,24.8091812080537,17.09,28.72,413,14.0003393515586,0.0114032368563879,21.5420522770471,657,406
"7","2017",11,1,20.5944743411928,17.453,25.37,2,11.6294372380872,0.27704139383776,24.1990328621526,594,224
"8","2017",11,3,20.4194576976422,16.463,25.263,4,10.082383823276,5.7156574039336,17.4309347390018,721,46
"9","2017",11,4,20.3222746185853,16.43,25.14,2,17.3891779760763,10.4913622933783,22.8670555780544,721,588
"10","2017",11,5,20.284479889043,16.8,24.92,0,18.0981834850513,8.94914231598216,24.146069125307,721,559
"11","2017",11,6,20.4275312066574,17.36,25.13,2,16.1180424329977,10.4309452861755,21.1251000082937,721,451
"12","2017",11,7,20.6480826446281,14.85,40.22,25,15.5126215626874,0.00792481730605371,24.6184956673079,535,400
"13","2017",11,8,20.6077024793388,15.18,38.49,44,16.3598097978035,0.00822337162088376,21.9960198432301,543,477
"14","2017",11,9,20.467305785124,15.12,37.83,28,17.1511178625914,0.00811953524695982,22.9871176244286,543,526
"15","2017",12,1,17.576627688172,12.397,22.34,0,9.35055002576239,0.416936589776389,25.2947914017336,562,112
"16","2017",12,2,17.0340463215259,11.68,22.58,0,17.3439767704364,6.28910554751067,23.7167120777957,734,519
"17","2017",12,3,17.0636594885599,10.603,22.76,0,16.6989276487294,5.86283486306569,23.1921735881421,743,565
"18","2017",12,4,17.0356048387097,11.27,22.63,0,16.721503379659,8.46740081683564,26.7892340140444,744,487
"19","2017",12,5,17.0831946308725,12.06,24.28,0,16.2150114111905,0.844450881329056,22.4310493025906,742,484
"20","2017",12,6,17.3022880215343,11.88,22.18,0,14.0518748627612,0.00844838983702261,25.8727561898874,649,397
"21","2017",12,7,17.3293951612903,11.37,22.27,0,12.055897455806,0.00754334192527044,21.9369109281663,677,230
"22","2017",12,8,17.083288590604,10.8,30.6,1,13.4919452726735,0.0111515887239567,21.234449814353,743,224
"23","2017",12,9,16.9994496644295,9.49,22.63,0,16.6449492032328,8.97054885223046,25.9372572533832,745,491
"24","2017",8,1,30.1869050505051,27.59,33.19,495,10.5952661047504,0.199728575133409,22.4303231345307,356,179
"25","2017",8,2,30.9801814516129,28.69,33.59,496,15.6186655756825,1.57537596890378,24.9575755717347,490,286
"26","2017",8,3,31.1797303822938,28.737,33.48,497,16.3541684638707,6.83658692530603,23.8259265086756,497,327
"27","2017",8,5,30.2880733944954,28.66,32.22,109,18.0544446722459,6.38276916506865,22.6886613717942,109,85
"28","2017",8,6,30.0540366972477,28.69,31.16,109,18.6402027961969,8.79134935211864,21.5114525354249,109,100
"29","2017",9,1,27.1937597222222,19.84,30.757,638,10.1945233925252,0.126292945721746,25.1923379461226,573,123
"30","2017",9,2,28.1878739002933,20.76,31.88,632,19.65703720076,2.58377979761763,26.5411646870329,679,586
"31","2017",9,3,28.1016291666667,20.163,32.31,641,20.215431287086,5.93081518504501,26.4395315256437,720,644
"32","2017",9,5,27.9271111111111,20.09,32.37,644,17.3553577636552,0.832257692667078,24.4016286712198,699,557
"33","2017",9,6,27.3193333333333,20.08,31.05,641,13.2888856799312,0.0103468625958148,23.7764322088881,576,389
"34","2018",1,1,12.7559059139785,4.403,18.927,0,10.6480351472806,0.394402358885173,28.1454867245388,553,215
"35","2018",1,2,11.7752489905787,6.4,16.98,0,14.7371902134811,0.92698957255124,25.8957215625134,714,372
"36","2018",1,3,11.636602425876,5.477,17.013,0,13.6999395130477,4.03165024426321,21.483474333581,738,328
"37","2018",1,4,11.5463122476447,1.14,17.03,0,14.8641517000712,7.05891317326311,27.9039612307632,743,287
"38","2018",1,5,11.6756586021505,6.67,16.58,0,15.8908125893807,1.52688437852357,26.5166312618584,721,451
"39","2018",1,6,12.5108870967742,7.38,17.36,0,13.4890266523709,0.004926686913514,27.6723164797675,672,318
"40","2018",1,7,12.7688440860215,7.71,17.38,0,12.9703912154725,0.00492064050677459,25.0142735228102,655,315
"41","2018",1,8,12.058938172043,2.71,17.87,0,13.3500698268178,2.81626340176238,24.4551977306679,714,238
"42","2018",1,9,11.5745833333333,4.12,17.39,0,16.168550009857,8.00908785192536,27.1424520163995,744,425
"43","2018",10,1,26.4008758434548,21.49,31.01,504,9.93156181510213,1.87504433631997,27.2261015399348,687,108
"44","2018",10,2,26.2901078167116,19.97,30.79,504,19.9243927028692,8.37690741577554,25.1102486710543,742,659
"45","2018",10,3,26.2929418918919,19.403,31.25,498,25.7322295167075,10.2834023241787,37.4461827237121,740,711
"46","2018",10,4,24.5206111111111,19.38,30.65,119,18.0752643905521,9.41008125122977,24.7273396492104,360,269
"47","2018",10,5,26.325752688172,19.76,30.78,508,19.5902347736601,0.679463452856502,27.3403353884302,743,566
"48","2018",10,6,25.5796766743649,21.15,30.93,199,16.7233379672134,4.57172611792136,25.4366503905542,432,240
"49","2018",10,7,26.6678553921569,19.86,31,574,14.9970681652064,5.11711016115116,23.7208290519896,816,422
"50","2018",10,8,26.4742069892473,18.91,31.72,499,19.5812238261035,9.06545902227367,29.5124625030976,744,611
"51","2018",10,9,26.358561827957,20.2,31.94,500,19.364618933647,12.9809245247518,24.6498519284485,744,682
